"Flight Name","Rating Name","Rating Value"
"aegeanairlines","Accesstopower/chargingpoints",3
"aegeanairlines","Ambienceandexclusivity",3
"aegeanairlines","Attentiontocabinsafety",4
"aegeanairlines","Baggagedeliverytimes",3
"aegeanairlines","Boardingefficiency",4
"aegeanairlines","BusinessClass",4
"aegeanairlines","Cabinandseatcleanliness",4
"aegeanairlines","Cabinsafetyinformation/video",4
"aegeanairlines","Check-infacilities",3
"aegeanairlines","Check-instaffservice",3
"aegeanairlines","Choiceofhotandcoldfood",3
"aegeanairlines","Choiceofwinesandbeverages",3
"aegeanairlines","Cleanlinessofloungeareas",3
"aegeanairlines","Comfortitems",4
"aegeanairlines","Complimentarybeverages",4
"aegeanairlines","Complimentarymeals/snacks",4
"aegeanairlines","EconomyClass",4
"aegeanairlines","Enthusiasmandfriendliness",4
"aegeanairlines","Friendlinessofstaffservice",4
"aegeanairlines","Interactionwithcustomers",3
"aegeanairlines","Languageskills",3
"aegeanairlines","Magazinesandnewspapers",3
"aegeanairlines","Premiumcheck-infacilities",3
"aegeanairlines","Prioritybaggageservice",4
"aegeanairlines","Priorityboardingservice",4
"aegeanairlines","Qualityconsistencyamongstaff",3
"aegeanairlines","Qualityconsistencyamongstaff",4
"aegeanairlines","Qualityoffoodserved",3
"aegeanairlines","Qualityoffoodserved",4
"aegeanairlines","Qualityofmealsserved",4
"aegeanairlines","Respondingtocustomerrequests",4
"aegeanairlines","Seatavailabilityandcomfort",3
"aegeanairlines","Seatcomfort",4
"aegeanairlines","Selectionofwines&beverages",4
"aegeanairlines","Servicehospitality",4
"aegeanairlines","Serviceskillsandproficiency",4
"aegeanairlines","Speedandtimingofservices",3
"aegeanairlines","Speedandtimingofservices",4
"aegeanairlines","Staffassistanceonarrival",3
"aegeanairlines","StaffLanguageskills",3
"aegeanairlines","Standardofwashrooms",3
"aegeanairlines","Totalstaffservicehospitality",3
"aegeanairlines","Transferserviceassistance",4
"aegeanairlines","Washroomcleanliness",3
"aegeanairlines","WiFiservice",4
"aerlingus","Accesstopower/chargingpoints",4
"aerlingus","Alacartediningoption",3
"aerlingus","Ambienceandexclusivity",4
"aerlingus","Amenitykitandwashroomamenities",4
"aerlingus","Arrivalloungefacilities",4
"aerlingus","Attentiontocabinsafety",4
"aerlingus","Baggagedeliverytimes",4
"aerlingus","Boardingefficiency",4
"aerlingus","BusinessClass",4
"aerlingus","BuyonboardF&Bprices",4
"aerlingus","BuyonboardF&Bselection",4
"aerlingus","Cabinandseatcleanliness",3
"aerlingus","Cabinandseatcleanliness",4
"aerlingus","Cabinpresenceandattention",4
"aerlingus","Cabinsafetyinformation/video",4
"aerlingus","Cabintemperatures",4
"aerlingus","Check-infacilities",4
"aerlingus","Check-instaffservice",4
"aerlingus","Choiceofhotandcoldfood",3
"aerlingus","Choiceofwinesandbeverages",4
"aerlingus","Cleanlinessofloungeareas",3
"aerlingus","Comfortitems",4
"aerlingus","Complimentarybeverages",0
"aerlingus","Complimentarymeals/snacks",0
"aerlingus","EconomyClass",4
"aerlingus","Enthusiasmandfriendliness",4
"aerlingus","Flexibilityofmealservice",4
"aerlingus","Friendlinessofstaffservice",4
"aerlingus","Inflightentertainment",4
"aerlingus","InflightEntertainment",4
"aerlingus","Interactionwithcustomers",4
"aerlingus","Languageskills",4
"aerlingus","Magazinesandnewspapers",4
"aerlingus","OnboardWiFiandconnectivity",4
"aerlingus","OnboardWiFiandconnectivity",5
"aerlingus","Personalisationofservice",4
"aerlingus","Premiumcheck-infacilities",4
"aerlingus","Prioritybaggageservice",4
"aerlingus","Priorityboardingservice",4
"aerlingus","Qualityconsistencyamongstaff",4
"aerlingus","Qualityoffoodserved",3
"aerlingus","Qualityofmealsserved",4
"aerlingus","Qualityofwines&beverages",4
"aerlingus","Quantityoffoodserved",4
"aerlingus","Respondingtocustomerrequests",4
"aerlingus","Seatavailabilityandcomfort",3
"aerlingus","Seatcomfort",4
"aerlingus","Seatcomfortandpersonalspace",4
"aerlingus","Selectionofwines&beverages",3
"aerlingus","Servicehospitality",4
"aerlingus","Serviceskillsandproficiency",4
"aerlingus","Speedandtimingofservice",3
"aerlingus","Speedandtimingofservices",4
"aerlingus","Staffassistanceonarrival",4
"aerlingus","StaffLanguageskills",4
"aerlingus","Staffserviceefficiency",4
"aerlingus","Standardofshowerfacilities",4
"aerlingus","Standardofwashrooms",3
"aerlingus","Totalstaffservicehospitality",4
"aerlingus","Transferserviceassistance",4
"aerlingus","Washroomamenities",4
"aerlingus","Washroomcleanliness",3
"aerlingus","Washroomcleanliness",4
"aerlingus","WiFiservice",4
"aeroflot","Accesstopower/chargingpoints",4
"aeroflot","Ambienceandexclusivity",3
"aeroflot","Amenitykitandwashroomamenities",4
"aeroflot","Attentiontocabinsafety",4
"aeroflot","Baggagedeliverytimes",4
"aeroflot","Boardingefficiency",3
"aeroflot","BusinessClass",4
"aeroflot","Cabinandseatcleanliness",4
"aeroflot","Cabinpresenceandattention",4
"aeroflot","Cabinsafetyinformation/video",4
"aeroflot","Cabintemperatures",4
"aeroflot","Check-infacilities",4
"aeroflot","Check-instaffservice",3
"aeroflot","Choiceofhotandcoldfood",4
"aeroflot","Choiceofwinesandbeverages",4
"aeroflot","Cleanlinessofloungeareas",3
"aeroflot","Comfortitems",4
"aeroflot","Complimentarybeverages",4
"aeroflot","Complimentarymeals/snacks",4
"aeroflot","EconomyClass",4
"aeroflot","Enthusiasmandfriendliness",4
"aeroflot","Flexibilityofmealservice",4
"aeroflot","Friendlinessofstaffservice",4
"aeroflot","Inflightentertainment",4
"aeroflot","InflightEntertainment",4
"aeroflot","Interactionwithcustomers",4
"aeroflot","Languageskills",3
"aeroflot","Languageskills",4
"aeroflot","Magazinesandnewspapers",4
"aeroflot","OnboardWiFiandconnectivity",4
"aeroflot","Personalisationofservice",4
"aeroflot","Premiumcheck-infacilities",3
"aeroflot","PremiumEconomy",4
"aeroflot","Prioritybaggageservice",4
"aeroflot","Priorityboardingoptions",3
"aeroflot","Priorityboardingservice",3
"aeroflot","Prioritycheck-infacilities",3
"aeroflot","Qualityconsistencyamongstaff",4
"aeroflot","Qualityoffoodserved",3
"aeroflot","Qualityofmealsserved",4
"aeroflot","Qualityofwines&beverages",4
"aeroflot","Quantityoffoodserved",4
"aeroflot","Respondingtocustomerrequests",4
"aeroflot","Seatavailabilityandcomfort",3
"aeroflot","Seatcomfort",4
"aeroflot","Seatcomfortandpersonalspace",4
"aeroflot","Selectionofwines&beverages",4
"aeroflot","Servicehospitality",4
"aeroflot","Serviceskillsandproficiency",4
"aeroflot","Speedandtimingofservice",4
"aeroflot","Speedandtimingofservices",4
"aeroflot","Staffassistanceonarrival",3
"aeroflot","StaffLanguageskills",3
"aeroflot","Staffserviceefficiency",3
"aeroflot","Standardofshowerfacilities",3
"aeroflot","Standardofwashrooms",3
"aeroflot","Totalstaffservicehospitality",3
"aeroflot","Transferserviceassistance",3
"aeroflot","Washroomamenities",4
"aeroflot","Washroomcleanliness",4
"aeroflot","WiFiservice",4
"airalgerie","Accesstopower/chargingpoints",1
"airalgerie","Alacartediningoption",1
"airalgerie","Ambienceandexclusivity",2
"airalgerie","Amenitykitandwashroomamenities",3
"airalgerie","Attentiontocabinsafety",3
"airalgerie","Attentiontocabinsafety",4
"airalgerie","Baggagedeliverytimes",3
"airalgerie","Boardingefficiency",3
"airalgerie","BusinessClass",3
"airalgerie","Cabinandseatcleanliness",3
"airalgerie","Cabinpresenceandattention",3
"airalgerie","Cabinsafetyinformation/video",3
"airalgerie","Cabintemperatures",3
"airalgerie","Check-infacilities",3
"airalgerie","Check-instaffservice",2
"airalgerie","Check-instaffservice",3
"airalgerie","Choiceofhotandcoldfood",2
"airalgerie","Choiceofwinesandbeverages",2
"airalgerie","Cleanlinessofloungeareas",2
"airalgerie","Comfortitems",3
"airalgerie","Complimentarybeverages",3
"airalgerie","Complimentarymeals/snacks",3
"airalgerie","EconomyClass",3
"airalgerie","Enthusiasmandfriendliness",3
"airalgerie","Flexibilityofmealservice",2
"airalgerie","Friendlinessofstaffservice",3
"airalgerie","InflightEntertainment",1
"airalgerie","Inflightentertainment",2
"airalgerie","InflightEntertainment",3
"airalgerie","Interactionwithcustomers",1
"airalgerie","Interactionwithcustomers",2
"airalgerie","Languageskills",3
"airalgerie","Magazinesandnewspapers",2
"airalgerie","Personalisationofservice",2
"airalgerie","Premiumcheck-infacilities",2
"airalgerie","Prioritybaggageservice",3
"airalgerie","Priorityboardingservice",3
"airalgerie","Qualityconsistencyamongstaff",3
"airalgerie","Qualityoffoodserved",3
"airalgerie","Qualityofmealsserved",3
"airalgerie","Qualityofwines&beverages",3
"airalgerie","Quantityoffoodserved",3
"airalgerie","Respondingtocustomerrequests",2
"airalgerie","Respondingtocustomerrequests",3
"airalgerie","Seatavailabilityandcomfort",3
"airalgerie","Seatcomfort",3
"airalgerie","Seatcomfortandpersonalspace",4
"airalgerie","Selectionofwines&beverages",2
"airalgerie","Selectionofwines&beverages",3
"airalgerie","Servicehospitality",3
"airalgerie","Serviceskillsandproficiency",3
"airalgerie","Speedandtimingofservice",2
"airalgerie","Speedandtimingofservice",3
"airalgerie","Speedandtimingofservices",3
"airalgerie","Staffassistanceonarrival",1
"airalgerie","Staffassistanceonarrival",2
"airalgerie","StaffLanguageskills",3
"airalgerie","Staffserviceefficiency",3
"airalgerie","Standardofshowerfacilities",2
"airalgerie","Standardofwashrooms",3
"airalgerie","Totalstaffservicehospitality",3
"airalgerie","Transferserviceassistance",1
"airalgerie","Transferserviceassistance",2
"airalgerie","Washroomamenities",2
"airalgerie","Washroomcleanliness",2
"airalgerie","Washroomcleanliness",3
"airalgerie","WiFiservice",2
"airasia","Attentiontocabinsafety",4
"airasia","Baggagedeliverytimes",3
"airasia","Boardingefficiency",3
"airasia","Cabinandseatcleanliness",3
